id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI
1802,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1812,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
1826,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
1843,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Humedal,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,7,Marisma,3,Zonas humedas,1,,
1844,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1878,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
1880,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
1889,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,8,Salinas,3,Zonas humedas,1,,
1902,Salinas de Cerrillos,Paraje Natural,Artificiales o modificados,IHA611004,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,,
553,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,17,Invernaderos,2,Agrario invernaderos,5,,
608,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,17,Invernaderos,2,Agrario invernaderos,5,,
478,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,,
479,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,,
493,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,23,Areas con fuertes procesos erosivos,5,Cobertura vegetal y suelos,1,,
