fid,COD_USO,DES_USO,Shape_Leng,Shape_Area,_N,_SIOSE,_COD_SIOSE,_Usos MUCV,_COD_NUEVO,AREA_POLIG,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,NOMBRE_HUM,COD_IHA,USOShum_ha,HUM_ha,BUF_ha
202606,611,MATORRAL DENSO ARBOLADO: QUERCINEAS DENSAS,624.920541827999955,61.156044728297275,97,MATORRAL DENSO ARBOLADO: QUERCINEAS DENSAS,NA,MATORRAL DENSO ARBOLADO: QUERCINEAS DENSAS,20,61.156,Vegetacion natural,Cobertura vegetal y suelos,5,1,Humedales de Baza,IHA614025,139.083384,64.951755000,74.131629
33945,317,RIOS Y CAUCES NAT.:OTRAS FORM. RIPARIAS,103013.071335000000545,385382.635854872874916,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,385382.636,Vegetacion riparia,Zonas humedas,3,1,Ri­o Antas,IHA611017,38.538264,32.385422000,6.152842
187886,520,FOR. ARBOL. DENSA: CONIFERAS,701.808933582999884,16726.651494111865759,60,FOR. ARBOL. DENSA: CONIFERAS,"520",Formacion arbolada: coniferas,20,16726.651,Vegetacion natural,Cobertura vegetal y suelos,5,1,Ri­o Antas,IHA611017,149.652231,11.008298000,138.643933
3101,115,URBANIZACIONES RESIDENCIALES,4457.266709030000129,52490.863752696204756,8,URBANIZACIONES,"2002",Discontinuo,1,52490.864,Tejido urbano,Urbano e infraestructuras,1,5,Ri­o Antas,IHA611017,28.974610,0.027342000,28.947268
445837,935,ZONAS SIN VEGETACION POR ROTURACION,1257.054102020000073,50987.692064564675093,82,ZONAS SIN VEGETACION POR ROTURACION,"935",Zonas sin vegetacion por roturacion,23,50987.692,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Ri­o Antas,IHA611017,5.098769,1.347330000,3.751439
53403,411,CULTIVOS HERBACEOS EN SECANO,2421.489896800000224,281634.299834900535643,85,CULTIVOS HERBACEOS EN SECANO,NA,CULTIVOS HERBACEOS EN SECANO,18,281634.300,Cultivos herbaceos,Agrario,4,3,Ri­o Antas,IHA611017,211.500415,4.196756000,207.303659
441943,931,"PLAYAS, DUNAS Y ARENALES",13191.453607699999338,161670.522722538094968,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,161670.523,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Ri­o Antas,IHA611017,16.167052,1.815452000,14.351600
24622,155,ZONAS EN CONSTRUCCION,1490.478862850000041,24919.263425946235657,83,ZONAS EN CONSTRUCCION,NA,Zonas en construccion,24,24919.263,Zonas en construccion,Urbano e infraestructuras,1,4,Ri­o Antas,IHA611017,4.953819,0.000000000,4.953819
136416,441,CULTIVOS HERBACEOS Y LEÃ‘OSOS EN SECANO,1739.778980750000073,39329.841723829507828,88,CULTIVOS HERBACEOS Y LEÑOSOS EN SECANO,NA,CULTIVOS HERBACEOS Y LEÑOSOS EN SECANO,19,39329.842,Areas agrarias heterogeneas,Agrario,4,3,Ri­o Antas,IHA611017,40.500513,0.198510000,40.302003
198937,570,FOR. ARBOL. DENSA: CONIFERAS+EUCALIPTOS,886.989112725000041,34981.258613657206297,96,FOR. ARBOL. DENSA: CONIFERAS+EUCALIPTOS,NA,FOR. ARBOL. DENSA: CONIFERAS+EUCALIPTOS,21,34981.259,Vegetación con eucaliptos,Cobertura vegetal y suelos,5,2,Salar de los Canos,IHA611018,7.885695,0.018398000,7.867297
24665,155,ZONAS EN CONSTRUCCION,1407.264288540000052,44416.912789249327034,83,ZONAS EN CONSTRUCCION,NA,Zonas en construccion,24,44416.913,Zonas en construccion,Urbano e infraestructuras,1,4,Salar de los Canos,IHA611018,21.970764,8.982645000,12.988119
156281,473,CULTIVOS HERBACEOS Y VEGETACION NATURAL LEÃ‘OSA,1322.263112220000039,32524.937681088806130,92,CULTIVOS HERBACEOS Y VEGETACION NATURAL LEÑOSA,NA,CULTIVOS HERBACEOS Y VEGETACION NATURAL LEÑOSA,19,32524.938,Areas agrarias heterogeneas,Agrario,4,3,Salar de los Canos,IHA611018,6.559967,0.000000000,6.559967
347190,911,MATORRAL DENSO,1361.990669759999946,16954.517685297876596,72,MATORRAL DENSO,"911",Matorral denso,20,16954.518,Vegetacion natural,Cobertura vegetal y suelos,5,1,Salar de los Canos,IHA611018,154.185114,46.360633000,107.824481
132597,439,OTROS CULTIVOS LEÃ‘OSOS REGADOS,4173.926508839999769,465735.526031049899757,7,TEJIDO URBANO,"2000",Ensanche,1,465735.526,Tejido urbano,Urbano e infraestructuras,1,5,Salar de los Canos,IHA611018,47.915313,0.000000000,47.915313
53705,411,CULTIVOS HERBACEOS EN SECANO,2712.613518529999965,46067.775879506021738,85,CULTIVOS HERBACEOS EN SECANO,NA,CULTIVOS HERBACEOS EN SECANO,18,46067.776,Cultivos herbaceos,Agrario,4,3,Salar de los Canos,IHA611018,104.551092,2.051572000,102.499520
