fid,pct_arbo,pct_mato,pct_herb,pct_suelo,pct_querc,pct_conif,pct_eu,pct_ofro,pct_culth,pct_cultl,pct_citri,pct_olivar,pct_vitis,pct_ofrut,pct_agua,pct_edif,pct_vial,pct_zverde,pct_zexver,os_cod_n4,os_des_n4,os_cod_n3,os_des_n3,os_cod_n2,os_des_n2,os_cod_n1,os_des_n1,cd_prov,Humedal,_N,_SIOSE,_COD_95,_Usos MUCV,_COD_NUEVO,USOS_CHERB,COD_CHERB,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,NOMBRE_HUM,COD_IHA,USOShum_ha,HUM_ha,BUF_ha
973713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,332,Lagos y lagunas,3021,Otras zonas hÃºmedas naturales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,49,LAGUNAS CONTINENTALES,"331",Lagos y lagunas,12,,,Lagos y lagunas,Zonas humedas,3,1,Laguna de la Gravera,IHA611002,2.250113,1.308208,0.941905
1226895,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,Suelo desnudo,945,Suelo desnudo,47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611004,80,ROQUEDOS Y SUELO DESNUDO,"932",Suelo desnudo,23,,,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Laguna de la Gravera,IHA611002,4.439372,0.000000,4.439372
974434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,345,Balsa de riego o ganadera,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,51,BALSAS DE RIEGO Y GANADERAS,"345",Balsa de riego o ganadera,13,,,Masas de agua artificial,Zonas humedas,3,4,Laguna de la Gravera,IHA611002,3.104644,0.000000,3.104644
968708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,65,0,142,Campos de golf,3004,"Ocio, cultural y deportivo",11,Urbano mixto,1,Artificial,4,IHA611004,30,ZONAS VERDES Y ESPACIOS DE OCIO,"193",Campos de golf,6,,,Zonas verdes y espacios de ocio,Urbano e infraestructuras,1,3,Laguna de la Gravera,IHA611002,37.175185,0.000000,37.175185
1242585,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,997,Otros cultivos leÃ±osos,3011,Frutales no cÃ­tricos,23,Cultivos leÃ±osos,2,AgrÃ­cola,4,IHA611004,58,OTROS CULTIVOS LEÑOSOS EN REGADIO,"997",Otros cultivos leñosos,15,,,Leñoso regadio,Agrario,4,3,Salinas de Cerrillos,IHA611004,0.257583,0.000000,0.257583
1226889,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,Suelo desnudo,945,Suelo desnudo,47,Zonas sin vegetaciÃ³n,4,Forestal,4,IHA611004,80,ROQUEDOS Y SUELO DESNUDO,"932",Suelo desnudo,23,,,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,Salinas de Cerrillos,IHA611004,20.305470,0.000000,20.305470
968731,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,142,Campos de golf,3004,"Ocio, cultural y deportivo",11,Urbano mixto,1,Artificial,4,IHA611004,30,ZONAS VERDES Y ESPACIOS DE OCIO,"193",Campos de golf,6,,,Zonas verdes y espacios de ocio,Urbano e infraestructuras,1,3,Salinas de Cerrillos,IHA611004,2.008560,0.056190,1.952370
973554,0,10,0,30,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,221,Salinas tradicionales,3020,Zonas hÃºmedas artificiales,51,Zonas hÃºmedas,5,Zonas hÃºmedas,4,IHA611004,39,SALINAS,"221",Salinas tradicionales,8,,,Salinas,Zonas humedas,3,1,Salinas de Cerrillos,IHA611004,719.000050,452.108724,266.891326
1270840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,2000,Ensanche,11,Urbano mixto,11,Urbano mixto,1,Artificial,4,IHA611004,7,TEJIDO URBANO,"439",Ensanche,1,,,Tejido urbano,Urbano e infraestructuras,1,5,Salinas de Cerrillos,IHA611004,7.741772,0.478964,7.262808
1287676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,131,Red viaria,3005,Redes viarias y ferroviarias,15,Infraestructuras de transporte,1,Artificial,4,IHA611004,15,INFRAESTRUCTURAS DE COMUNICACIONES,"131",Red viaria,3,,,Infraestructuras de comunicaciones,Urbano e infraestructuras,1,5,Salinas de Cerrillos,IHA611004,4.926073,0.000000,4.926073
970010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,5,75,151,Zonas mineras,151,Zonas mineras,14,ExtracciÃ³n minera,1,Artificial,4,IHA611004,23,ZONAS MINERAS,"151",Zonas mineras,5,,,"Zonas mineras, escombreras o de vertido",Urbano e infraestructuras,1,5,Salinas de Cerrillos,IHA611004,1.139168,0.000000,1.139168
998592,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,405,Cultivo herbÃ¡ceo distinto de arroz,21,Cultivos herbÃ¡ceos,21,Cultivos herbÃ¡ceos,2,AgrÃ­cola,4,IHA611004,52,AREAS AGRICOLAS HOMOGENEAS,"-",Cultivo herbaceo distinto de arroz,18,Herbaceo regadio,18,Cultivos herbaceos,Agrario,4,3,Salinas de Cerrillos,IHA611004,1.494807,0.000000,1.494807
956602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,0,Sin asignaciÃ³n,4,IHA611004,1,SIN ASIGNACIoN,"0",Sin asignacion,0,,,Sin asignacion,Urbano e infraestructuras,1,5,Salinas de Cerrillos,IHA611004,0.102366,0.000000,0.102366
