"NOMBRE_HUM"	"MUCVA_C_ES"	"MUCVA_T_ES"	"SIOSE_C_ES"	"SIOSE_T_ES"	"n"
"160"	"RiÃ‚Â­o Antas"	"1"	"Tejido urbano"	"1"	"Tejido urbano"	6
"161"	"RiÃ‚Â­o Antas"	"1"	"Tejido urbano"	"19"	"Areas agrarias heterogeneas"	1
"162"	"RiÃ‚Â­o Antas"	"9"	"Mares y oceanos"	"9"	"Mares y oceanos"	9
"163"	"RiÃ‚Â­o Antas"	"11"	"Vegetacion riparia"	"7"	"Marisma"	2
"164"	"RiÃ‚Â­o Antas"	"11"	"Vegetacion riparia"	"15"	"Lenoso regadio"	1
"165"	"RiÃ‚Â­o Antas"	"11"	"Vegetacion riparia"	"20"	"Vegetacion natural"	1
"166"	"RiÃ‚Â­o Antas"	"18"	"Cultivos herbaceos"	"1"	"Tejido urbano"	2
"167"	"RiÃ‚Â­o Antas"	"18"	"Cultivos herbaceos"	"3"	"Infraestructuras de comunicaciones"	1
"168"	"RiÃ‚Â­o Antas"	"18"	"Cultivos herbaceos"	"5"	"Zonas mineras, escombreras o de vertido"	1
"169"	"RiÃ‚Â­o Antas"	"18"	"Cultivos herbaceos"	"15"	"Lenoso regadio"	2
"170"	"RiÃ‚Â­o Antas"	"18"	"Cultivos herbaceos"	"18"	"Cultivos herbaceos"	17
"171"	"RiÃ‚Â­o Antas"	"18"	"Cultivos herbaceos"	"19"	"Areas agrarias heterogeneas"	1
"172"	"RiÃ‚Â­o Antas"	"18"	"Cultivos herbaceos"	"20"	"Vegetacion natural"	4
"173"	"RiÃ‚Â­o Antas"	"18"	"Cultivos herbaceos"	"23"	"Areas con fuertes procesos erosivos"	2
"174"	"RiÃ‚Â­o Antas"	"19"	"Areas agrarias heterogeneas"	"15"	"Lenoso regadio"	2
"175"	"RiÃ‚Â­o Antas"	"19"	"Areas agrarias heterogeneas"	"18"	"Cultivos herbaceos"	1
"176"	"RiÃ‚Â­o Antas"	"19"	"Areas agrarias heterogeneas"	"20"	"Vegetacion natural"	2
"177"	"RiÃ‚Â­o Antas"	"20"	"Vegetacion natural"	"1"	"Tejido urbano"	6
"178"	"RiÃ‚Â­o Antas"	"20"	"Vegetacion natural"	"3"	"Infraestructuras de comunicaciones"	1
"179"	"RiÃ‚Â­o Antas"	"20"	"Vegetacion natural"	"6"	"Zonas verdes y espacios de ocio"	1
"180"	"RiÃ‚Â­o Antas"	"20"	"Vegetacion natural"	"11"	"Vegetacion riparia"	1
"181"	"RiÃ‚Â­o Antas"	"20"	"Vegetacion natural"	"18"	"Cultivos herbaceos"	1
"182"	"RiÃ‚Â­o Antas"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	8
"183"	"RiÃ‚Â­o Antas"	"20"	"Vegetacion natural"	"23"	"Areas con fuertes procesos erosivos"	3
"184"	"RiÃ‚Â­o Antas"	"22"	"Playas, dunas y arenales"	"7"	"Marisma"	1
"185"	"RiÃ‚Â­o Antas"	"22"	"Playas, dunas y arenales"	"22"	"Playas, dunas y arenales"	3
"186"	"RiÃ‚Â­o Antas"	"24"	"Zonas en construccion"	"1"	"Tejido urbano"	1
"187"	"Ribera de la Algaida"	"2"	"Zonas industriales y comerciales"	"10"	"Rios, cauces o ramblas"	1
"188"	"Ribera de la Algaida"	"3"	"Infraestructuras de comunicaciones"	"6"	"Zonas verdes y espacios de ocio"	1
"189"	"Ribera de la Algaida"	"3"	"Infraestructuras de comunicaciones"	"23"	"Areas con fuertes procesos erosivos"	1
"190"	"Ribera de la Algaida"	"8"	"Salinas"	"3"	"Infraestructuras de comunicaciones"	1
"191"	"Ribera de la Algaida"	"8"	"Salinas"	"8"	"Salinas"	12
"192"	"Ribera de la Algaida"	"9"	"Mares y oceanos"	"9"	"Mares y oceanos"	27
"193"	"Ribera de la Algaida"	"17"	"Invernaderos"	"17"	"Invernaderos"	3
"194"	"Ribera de la Algaida"	"18"	"Cultivos herbaceos"	"1"	"Tejido urbano"	2
"195"	"Ribera de la Algaida"	"18"	"Cultivos herbaceos"	"3"	"Infraestructuras de comunicaciones"	2
"196"	"Ribera de la Algaida"	"18"	"Cultivos herbaceos"	"6"	"Zonas verdes y espacios de ocio"	2
"197"	"Ribera de la Algaida"	"18"	"Cultivos herbaceos"	"17"	"Invernaderos"	4
"198"	"Ribera de la Algaida"	"18"	"Cultivos herbaceos"	"20"	"Vegetacion natural"	6
"199"	"Ribera de la Algaida"	"18"	"Cultivos herbaceos"	"22"	"Playas, dunas y arenales"	5
"200"	"Ribera de la Algaida"	"18"	"Cultivos herbaceos"	"23"	"Areas con fuertes procesos erosivos"	6
"201"	"Ribera de la Algaida"	"20"	"Vegetacion natural"	"11"	"Vegetacion riparia"	1
"202"	"Ribera de la Algaida"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	6
"203"	"Ribera de la Algaida"	"20"	"Vegetacion natural"	"21"	"Vegetacion con eucaliptos"	1
"204"	"Ribera de la Algaida"	"20"	"Vegetacion natural"	"22"	"Playas, dunas y arenales"	9
"205"	"Ribera de la Algaida"	"22"	"Playas, dunas y arenales"	"9"	"Mares y oceanos"	1
"206"	"Ribera de la Algaida"	"22"	"Playas, dunas y arenales"	"22"	"Playas, dunas y arenales"	1
"207"	"Ribera de la Algaida"	"22"	"Playas, dunas y arenales"	"23"	"Areas con fuertes procesos erosivos"	1
"208"	"Ribera de la Algaida"	"23"	"Areas con fuertes procesos erosivos"	"23"	"Areas con fuertes procesos erosivos"	1
"209"	"Ribera de la Algaida"	"24"	"Zonas en construccion"	"2"	"Zonas industriales y comerciales"	3
"210"	"Saladar del Margen"	"18"	"Cultivos herbaceos"	"3"	"Infraestructuras de comunicaciones"	1
"211"	"Saladar del Margen"	"18"	"Cultivos herbaceos"	"14"	"Lenoso secano"	2
"212"	"Saladar del Margen"	"18"	"Cultivos herbaceos"	"18"	"Cultivos herbaceos"	6
"213"	"Saladar del Margen"	"18"	"Cultivos herbaceos"	"20"	"Vegetacion natural"	8
"214"	"Saladar del Margen"	"19"	"Areas agrarias heterogeneas"	"11"	"Vegetacion riparia"	1
"215"	"Saladar del Margen"	"19"	"Areas agrarias heterogeneas"	"18"	"Cultivos herbaceos"	2
"216"	"Saladar del Margen"	"19"	"Areas agrarias heterogeneas"	"20"	"Vegetacion natural"	2
"217"	"Saladar del Margen"	"20"	"Vegetacion natural"	"18"	"Cultivos herbaceos"	2
"218"	"Saladar del Margen"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	71
"219"	"Salar de los Canos"	"1"	"Tejido urbano"	"1"	"Tejido urbano"	2
"220"	"Salar de los Canos"	"1"	"Tejido urbano"	"15"	"Lenoso regadio"	2
"221"	"Salar de los Canos"	"1"	"Tejido urbano"	"18"	"Cultivos herbaceos"	1
"222"	"Salar de los Canos"	"1"	"Tejido urbano"	"20"	"Vegetacion natural"	1
"223"	"Salar de los Canos"	"1"	"Tejido urbano"	"21"	"Vegetacion con eucaliptos"	1
"224"	"Salar de los Canos"	"1"	"Tejido urbano"	"23"	"Areas con fuertes procesos erosivos"	4
"225"	"Salar de los Canos"	"18"	"Cultivos herbaceos"	"1"	"Tejido urbano"	9
"226"	"Salar de los Canos"	"18"	"Cultivos herbaceos"	"3"	"Infraestructuras de comunicaciones"	2
"227"	"Salar de los Canos"	"18"	"Cultivos herbaceos"	"6"	"Zonas verdes y espacios de ocio"	1
"228"	"Salar de los Canos"	"18"	"Cultivos herbaceos"	"20"	"Vegetacion natural"	9
