fid,COD_USO,DES_USO,Shape_Leng,Shape_Area,_N,_SIOSE,_COD_SIOSE,_Usos MUCV,_COD_NUEVO,AREA_POLIG,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,areaNAT_m2
408433,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,23771.796637199997349,1244628.145941122900695,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,1244628.146,Vegetacion natural,Cobertura vegetal y suelos,5,1,1244628.146
408442,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,1224.283998090000068,24118.726410705596209,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,24118.726,Vegetacion natural,Cobertura vegetal y suelos,5,1,24118.726
408543,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,3942.077151099999810,32629.016724392771721,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,32629.017,Vegetacion natural,Cobertura vegetal y suelos,5,1,32629.017
438508,925,"PASTIZAL CON CLAROS (ROCA, SUELO)",419.613490339000009,3408.832506982609630,76,"PASTIZAL CON CLAROS (ROCA, SUELO)","925","Pastizal con claros (roca, suelo)",20,3408.833,Vegetacion natural,Cobertura vegetal y suelos,5,1,3408.833
27507,225,SALINAS INDUST. Y PARQUES DE CULTIVOS,3214.137577550000060,307928.590906276367605,38,SALINAS,"203",Salinas industriales,8,307928.591,Salinas,Zonas humedas,3,1,307928.591
342172,911,MATORRAL DENSO,2861.160466939999878,279150.160354077816010,72,MATORRAL DENSO,"911",Matorral denso,20,279150.160,Vegetacion natural,Cobertura vegetal y suelos,5,1,279150.160
365910,915,MATORRAL DISPERSO CON PASTIZAL,9476.562502169999789,161548.048558482172666,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,161548.049,Vegetacion natural,Cobertura vegetal y suelos,5,1,161548.049
400175,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,562.830519140999968,9444.290188635641243,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,9444.290,Vegetacion natural,Cobertura vegetal y suelos,5,1,9444.290
400177,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,948.710872590000008,22169.381287068710662,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,22169.381,Vegetacion natural,Cobertura vegetal y suelos,5,1,22169.381
400201,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,3199.905225359999804,168532.639886950491928,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,168532.640,Vegetacion natural,Cobertura vegetal y suelos,5,1,168532.640
400203,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,160.452433273999986,1300.785964407026768,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,1300.786,Vegetacion natural,Cobertura vegetal y suelos,5,1,1300.786
400211,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,217.831308495999991,2408.858882853761315,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,2408.859,Vegetacion natural,Cobertura vegetal y suelos,5,1,2408.859
441875,931,"PLAYAS, DUNAS Y ARENALES",9974.108781389999422,141289.472950272203889,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,141289.473,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,141289.473
442754,932,ROQUEDOS Y SUELO DESNUDO,2098.503885999999966,71996.964758615242317,80,ROQUEDOS Y SUELO DESNUDO,"945",Suelo desnudo,23,71996.965,Areas con fuertes procesos erosivos,Cobertura vegetal y suelos,5,1,71996.965
385594,915,MATORRAL DISPERSO CON PASTIZAL,14108.493038000000524,115099.070429960498586,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,115099.070,Vegetacion natural,Cobertura vegetal y suelos,5,1,115099.070
