id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,ENP,CODIGO_UE1,NOM_ANEXO1,LEYENDA_1,CODIGO_UE2,LEYENDA_2,CODIGO_UE3,LEYENDA_3,CODIGO_UE4,LEYENDA_4,M_C_E_NAT,M_T_E_NAT,M_C_G_NAT,M_T_G_NAT,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI,hic_p_tn,hic_np_tn,HIC_1,HIC_2,hic_num_t,HIC_3,HIC_4,HIC_5,HIC_6
413,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"4090",Brezales oromediterraneos endemicos con aliaga,Habitat UE,"9540",Habitat UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,2,5210_90,40901_5,3,62201_5,,,
440,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"4090",Brezales oromediterraneos endemicos con aliaga,Habitat UE,"9540",Habitat UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,2,5210_90,40901_5,3,62201_5,,,
210,Canada de las Norias,,Interiores,IHA611005,Publica,Buffer,0,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"1520",Habitat Prioritario UE,"6220",Habitat Prioritario UE,"-1","-",,,,,19,Areas agrarias heterogeneas,4,Agrario,3,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,62200_13,53306_12,2,,,,
216,Canada de las Norias,,Interiores,IHA611005,Publica,Buffer,0,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"1520",Habitat Prioritario UE,"6220",Habitat Prioritario UE,"-1","-",,,,,19,Areas agrarias heterogeneas,4,Agrario,3,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,62200_13,53306_12,2,,,,
326,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"4090",Brezales oromediterraneos endemicos con aliaga,Habitat UE,"1430",Habitat UE,"-1","-","-1","-",,,,,19,Areas agrarias heterogeneas,4,Agrario,3,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,2,62201_72,40901_25,3,1430_5,,,
2006,Saladar del Margen,,Interiores,IHA614009,Privada,Buffer,0,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"1420",Habitat UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,2,1430_100,62201_72,3,14201_5,,,
340,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,62201_72,62200_25,3,1430_5,,,
420,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,62201_72,62200_25,3,1430_5,,,
436,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,62201_72,62200_25,3,1430_5,,,
1374,Salar de los Canos,,Costeros,IHA611018,Privada,Buffer,0,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"1430",Habitat UE,"-1","-","-1","-",,,,,18,Cultivos herbaceos,4,Agrario,3,23,Areas con fuertes procesos erosivos,5,Cobertura vegetal y suelos,1,23,Areas con fuerte,1,0,62201_72,,1,,,,
1068,Salinas de Cabo de Gata,Parque Natural,Costeros,IHA611009,Privada,Buffer,1,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y",1,0,62201_72,62200_25,2,,,,
1084,Salinas de Cabo de Gata,Parque Natural,Costeros,IHA611009,Privada,Buffer,1,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y",1,0,62201_72,62200_25,2,,,,
1316,Salinas de Cabo de Gata,Parque Natural,Costeros,IHA611009,Privada,Buffer,1,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y",1,0,62201_72,62200_25,2,,,,
6,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,0,62201_72,62200_25,2,,,,
363,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"4090",Brezales oromediterraneos endemicos con aliaga,Habitat UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,62201_72,40901_50,2,,,,
406,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"4090",Brezales oromediterraneos endemicos con aliaga,Habitat UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,62201_72,40901_50,2,,,,
417,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"4090",Brezales oromediterraneos endemicos con aliaga,Habitat UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,62201_72,40901_50,2,,,,
438,Cola del Embalse del NegratiÂ­n,,Interiores,IHA614010,Publica,Buffer,0,"4090",Brezales oromediterraneos endemicos con aliaga,Habitat UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,1,1,62201_72,40901_50,2,,,,
792,Rambla Morales,Parque Natural,Costeros,IHA611003,Publica,Buffer,1,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y",1,1,62201_100,62200_100,3,53305_12,,,
